player_name,player_id,season,season_type,team,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Evan Fournier,fournev01,2021,RS,ORL,1119,525,2.545877636450694,-2.959838105358359,-.413960468907665,5.061197624634943,-3.362712971638294,1.698484652996649,3.336916468238242,-3.219793570185949,.1171228980522931,.778689843195334,.778689843195334,0,2.742036745541889,-2.845587864173813,-.1035511186319233,1.413208064470432
De'Aaron Fox,foxde01,2021,RS,SAC,2141,1005,2.596261699757719,-1.539478852234972,1.056782847522747,-3.878757616621632,-.0075658761170767,-3.886323492738709,1.320700161870981,-1.246302945147656,.0743972167233251,1.458683686781162,1.458683686781162,0,.6984563073301602,-.486704591576935,.2117517157532252,.7322464715392245
Tim Frazier,fraziti01,2021,RS,MEM,72,33,-10.25817492966077,.2773293391632859,-9.980845590497484,-14.10961505946532,14.84748111087236,.7378660514070408,-11.67204816120643,3.333759372592426,-8.338288788614005,-.0949900726992318,-.0949900726992318,0,-10.97202665595183,.5040846650602465,-10.46794199089158,.9711947231299071
Markelle Fultz,fultzma01,2021,RS,ORL,462,215,-2.908141559045733,-7.129585686472446,-10.03772724551818,.4595161197408759,-3.95739470542457,-3.497878585683694,-2.27842242412557,-6.897963806537428,-9.176386230662997,-.7056936537607704,-.7056936537607704,0,-2.929348857092151,-6.098934479505751,-9.028283336597902,.1097691695721458
Wenyen Gabriel,gabriwe01,2021,RS,NOP,27,12,-5.563735325217302,2.130418407102326,-3.433316918114977,-4.889806417724583,10.22867766065237,5.33887124292779,-5.748857124094509,4.02840240374432,-1.720454720350189,.0062215436454317,.0062215436454317,0,-4.070831404041361,-.1509905884998573,-4.221821992541218,-1.313361505175329
Daniel Gafford,gaffoda01,2021,RS,CHI,721,337,-1.501724453137225,1.468708135173875,-.03301631796335,-1.752921021075931,1.876726037026126,.1238050159501953,-1.624706068276899,1.637101408675929,.0123953403990309,.4754495709099508,.4754495709099508,0,-1.84814755584042,1.140576749863048,-.7075708059773718,.1045863209565557
Danilo Gallinari,gallida01,2021,RS,ATL,801,383,-.6809083622339767,-2.681592002509686,-3.362500364743663,1.199436803957278,-2.460566360988252,-1.261129557030974,-.3298139240801092,-2.795380908757839,-3.125194832837948,-.0725779011844385,-.0725779011844385,0,-.1389561394960941,-3.213334830005054,-3.352290969501148,-1.01893186204079
Langston Galloway,gallola01,2021,RS,PHO,561,262,1.182546129713694,-.8956376913389266,.2869084383747673,-2.14104336942163,.2996325257151582,-1.841410843706472,.5622968208886669,-.7763976973400768,-.2141008764514098,.3384021100952512,.3384021100952512,0,-.973825693549325,-2.14584111763641,-3.119666811185735,-.1725662959598004
Darius Garland,garlada01,2021,RS,CLE,1641,795,-.9680163189174804,-2.794984711035158,-3.763001029952639,-.8176782075338961,-5.386349211170005,-6.204027418703901,-.874779196790334,-3.473102450756079,-4.347881647546414,-.6487364552486699,-.6487364552486699,0,-.9569670521710765,-2.458287987225781,-3.415255039396857,.0970794686646013
Marc Gasol,gasolma01,2021,RS,LAL,1360,651,-2.660602075451348,4.118629169346434,1.458027093895086,-1.717078840982956,.4986626939766187,-1.218416147006337,-2.594917433152204,3.515909957982362,.9209925248301576,1.226503658926068,1.226503658926068,0,-3.467841211502726,4.537240635534651,1.069399424031926,.5996444016721186
